code,age,name,gender,company,Aracaju (SE)_as_source,Brasilia (DF)_as_source,Campo Grande (MS)_as_source,Florianopolis (SC)_as_source,Natal (RN)_as_source,Recife (PE)_as_source,Rio de Janeiro (RJ)_as_source,Salvador (BH)_as_source,Sao Paulo (SP)_as_source,Aracaju (SE)_as_destination,Brasilia (DF)_as_destination,Campo Grande (MS)_as_destination,Florianopolis (SC)_as_destination,Natal (RN)_as_destination,Recife (PE)_as_destination,Rio de Janeiro (RJ)_as_destination,Salvador (BH)_as_destination,Sao Paulo (SP)_as_destination,economic_count,firstClass_count,premium_count,total_distance,total_price,total_time,january_as_travel_month,february_as_travel_month,march_as_travel_month,april_as_travel_month,may_as_travel_month,june_as_travel_month,july_as_travel_month,august_as_travel_month,september_as_travel_month,october_as_travel_month,november_as_travel_month,december_as_travel_month
0,Roy Braun,21,male,4You,33,36,8,12,13,35,8,18,15,33,36,8,12,13,35,8,18,15,44,88,46,93847.58000000003,176053.77,243.92000000000021,19,16,16,18,17,11,9,9,10,18,18,17
1,Joseph Holsten,37,male,4You,4,2,0,1,0,2,0,1,2,4,2,0,1,0,2,0,1,2,4,2,6,6103.780000000001,9826.78,15.860000000000001,0,0,0,0,0,0,0,0,2,9,1,0
2,Wilma Mcinnis,48,female,4You,56,56,12,14,19,50,22,19,14,56,56,12,14,19,50,22,19,14,88,98,76,134581.90000000002,237613.52,349.8200000000007,27,25,24,18,18,16,19,17,19,28,25,26
3,Paula Daniel,23,female,4You,74,87,33,42,23,79,23,17,20,74,87,33,42,23,79,23,17,20,114,172,112,201417.59999999995,372891.7299999998,523.4400000000009,36,33,34,35,34,35,33,25,28,37,32,36
4,Patricia Carson,44,female,4You,73,75,16,28,21,104,32,25,24,73,75,16,28,21,104,32,25,24,96,180,122,206146.27999999985,381042.5799999998,535.6800000000005,36,32,35,37,33,34,33,25,28,36,33,36
5,Trina Thomas,47,none,4You,26,26,10,7,6,23,7,14,9,26,26,10,7,6,23,7,14,9,26,60,42,69545.51999999995,130454.01999999999,180.7399999999999,9,8,9,9,8,9,10,8,10,18,17,13
6,Jesse Decelle,46,male,4You,36,32,8,14,10,30,11,11,12,36,32,8,14,10,30,11,11,12,46,76,42,81890.23999999998,150654.7200000001,212.77999999999994,19,16,16,15,9,8,9,9,10,19,16,18
7,Gregoria Gil,21,female,4You,22,23,8,4,12,20,5,3,7,22,23,8,4,12,20,5,3,7,20,50,34,47501.36000000002,94141.90999999997,123.41999999999994,9,8,9,9,9,8,10,8,8,9,9,8
8,Jack Sabo,41,none,4You,81,73,25,21,26,68,18,20,18,81,73,25,21,26,68,18,20,18,88,154,108,176350.81999999995,332992.93000000017,458.2400000000006,37,24,25,27,26,25,28,25,29,36,32,36
9,Debbie Helms,35,none,4You,46,41,18,11,13,54,11,20,16,46,41,18,11,13,54,11,20,16,62,106,62,120664.69999999995,219809.21999999997,313.5199999999999,18,16,17,18,17,17,18,18,19,28,25,19
